-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     246.753us         0.76%     246.753us      15.422us           0 b           0 b           0 b           0 b            16  
                                             aten::silu         0.39%     761.070us         0.69%       1.337ms      10.786us     195.618us         0.60%     195.618us       1.578us           0 b           0 b     992.00 Kb     992.00 Kb           124  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     195.618us         0.60%     195.618us       1.578us           0 b           0 b           0 b           0 b           124  
                                            aten::equal         0.24%     472.417us         1.04%       2.012ms      64.916us      43.039us         0.13%     194.912us       6.287us           0 b           0 b           0 b     -15.50 Kb            31  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     151.234us         0.47%     151.234us       1.427us           0 b           0 b           0 b           0 b           106  
                                              aten::sub         0.31%     600.277us         0.49%     950.879us      12.191us     141.155us         0.43%     141.155us       1.810us           0 b           0 b      49.12 Mb      49.12 Mb            78  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     140.890us         0.43%     140.890us       2.272us           0 b           0 b           0 b           0 b            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     128.288us         0.40%     128.288us       1.645us           0 b           0 b           0 b           0 b            78  
                                              aten::cos         0.22%     415.119us         0.36%     699.691us      11.285us     126.527us         0.39%     126.527us       2.041us           0 b           0 b     496.00 Kb     496.00 Kb            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     126.527us         0.39%     126.527us       2.041us           0 b           0 b           0 b           0 b            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     124.293us         0.38%     124.293us       1.336us           0 b           0 b           0 b           0 b            93  
                                              aten::sin         0.20%     383.996us         0.35%     671.883us      10.837us     122.205us         0.38%     122.205us       1.971us           0 b           0 b     496.00 Kb     496.00 Kb            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     122.205us         0.38%     122.205us       1.971us           0 b           0 b           0 b           0 b            62  
                                              aten::pow         0.43%     830.202us         0.69%       1.327ms      14.269us     116.800us         0.36%     116.800us       1.256us           0 b           0 b     775.00 Kb     775.00 Kb            93  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     116.800us         0.36%     116.800us       1.256us           0 b           0 b           0 b           0 b            93  
                                             aten::mean         0.19%     375.143us         0.29%     564.175us      18.199us     113.285us         0.35%     113.285us       3.654us           0 b           0 b      15.50 Kb      15.50 Kb            31  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     113.285us         0.35%     113.285us       3.654us           0 b           0 b           0 b           0 b            31  
                                              aten::all         0.22%     428.404us         0.33%     639.324us      20.623us     100.450us         0.31%     100.450us       3.240us           0 b           0 b      15.50 Kb      15.50 Kb            31  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     100.450us         0.31%     100.450us       3.240us           0 b           0 b           0 b           0 b            31  
                                            aten::randn         0.03%      62.012us         0.21%     401.168us      25.073us       0.000us         0.00%      99.072us       6.192us           0 b           0 b      49.50 Mb           0 b            16  
                                          aten::normal_         0.08%     162.769us         0.14%     273.546us      17.097us      99.072us         0.31%      99.072us       6.192us           0 b           0 b           0 b           0 b            16  
